"ID","Key","Name","Is Custom","Is Orderable","Is Navigable","Is Searchable","Clause Names","Schema Type","Schema Items","Schema Custom Type","Schema Custom ID","Schema System"
"customfield_10356","customfield_10356","Implementation Plan","True","True","True","True","Implementation Plan[Short text], cf[10356], Implementation Plan","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","10356",
"customfield_10114","customfield_10114","List of Available Discos","True","True","True","True","cf[10114], List of Available Discos, List of Available Discos[Paragraph]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10114",
"customfield_10346","customfield_10346","Submitted forms","True","True","True","True","cf[10346], Submitted forms","number",,"com.atlassian.jira.plugins.proforma-managed-fields:forms-submitted-field-cftype","10346",
"customfield_11799","customfield_11799","Effort","True","True","True","True","Effort[Rating], cf[11799], Effort","number",,"jira.polaris:rating","11799",
"customfield_10225","customfield_10225","R&D Tax Credits","True","True","True","True","cf[10225], R&D Tax Credits[Dropdown], R&D Tax Credits","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10225",
"customfield_10104","customfield_10104","Developer","True","True","True","True","Developer[User Picker (single user)], cf[10104], Developer","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10104",
"customfield_10226","customfield_10226","Health Status","True","True","True","True","Health Status[Dropdown], Health Status, cf[10226]","option",,"com.atlassian.jira.plugin.system.customfieldtypes:select","10226",
"customfield_10105","customfield_10105","QA Engineer","True","True","True","True","cf[10105], QA Engineer[User Picker (single user)], QA Engineer","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10105",
"customfield_10347","customfield_10347","Locked forms","True","True","True","True","cf[10347], Locked forms","number",,"com.atlassian.jira.plugins.proforma-managed-fields:forms-locked-field-cftype","10347",
"customfield_11798","customfield_11798","Value","True","True","True","True","cf[11798], Value, Value[Rating]","number",,"jira.polaris:rating","11798",
"customfield_10227","customfield_10227","Promotion Date","True","True","True","True","Promotion Date[Time stamp], cf[10227], Promotion Date","datetime",,"com.atlassian.jira.plugin.system.customfieldtypes:datetime","10227",
"customfield_10348","customfield_10348","Total forms","True","True","True","True","cf[10348], Total forms","number",,"com.atlassian.jira.plugins.proforma-managed-fields:forms-total-field-cftype","10348",
"customfield_10228","customfield_10228","Jira_Issue_Key","True","True","True","True","Jira_Issue_Key, Jira_Issue_Key[Short text], cf[10228]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textfield","10228",
"customfield_10108","customfield_10108","Begin Date","True","True","True","True","Begin Date[Time stamp], cf[10108], Begin Date","datetime",,"com.atlassian.jira.plugin.system.customfieldtypes:datetime","10108",
