Environment,Name,SourceID (OneMain),TargetID (OneMainFinancial),MatchStatus
Source,Priority,priority,priority,Jira Native
Source,Affects versions,versions,versions,Jira Native
Source,Key,issuekey,issuekey,Jira Native
Source,Σ Progress,aggregateprogress,aggregateprogress,Jira Native
Source,cf_User1,customfield_12170,,No Match
Source,End User Coordination Effort (migrated) (migrated),customfield_11083,,No Match
Source,Restrict to,issuerestriction,issuerestriction,Jira Native
Source,Images,thumbnail,thumbnail,Jira Native
Source,Created,created,created,Jira Native
Source,cf_Radio2,customfield_12169,,No Match
Source,cf_Radio1,customfield_12168,,No Match
Source,Security Level,security,security,Jira Native
Source,Attachment,attachment,attachment,Jira Native
Source,Configuration Item ID (migrated),customfield_11050,,No Match
Source,Risk Approver Required (New),customfield_11053,,No Match
Source,Begin Date (migrated 2) (migrated),customfield_11178,,No Match
Target Only,uuid,,customfield_10355,No Match (Target Only)
Target Only,Location,,customfield_10356,No Match (Target Only)
Target Only,Xray End Date,,customfield_10159,No Match (Target Only)
Target Only,Revision,,customfield_10157,No Match (Target Only)
Target Only,Tech Debt,,customfield_10389,No Match (Target Only)
Target Only,Change risk,,customfield_10006,No Match (Target Only)
Target Only,Change reason,,customfield_10007,No Match (Target Only)
Target Only,Actual start,,customfield_10008,No Match (Target Only)
Target Only,Actual end,,customfield_10009,No Match (Target Only)
